?qid	?name
<http://www.wikidata.org/entity/Q10853588>	"Kamala Haris"@sgs
<http://www.wikidata.org/entity/Q108540232>	"Alvaro Bedoya"@en
<http://www.wikidata.org/entity/Q10857432>	"Paulus Klimkin"@la
<http://www.wikidata.org/entity/Q10858594>	"Jacob Weisberg"@af
<http://www.wikidata.org/entity/Q108596675>	"Farah Peterson"@en
<http://www.wikidata.org/entity/Q10860037>	"Nicholas Lemann"@ast
<http://www.wikidata.org/entity/Q108634>	"Tom Buhrow"@ast
<http://www.wikidata.org/entity/Q1086484>	"Christopher Andrew"@ast
<http://www.wikidata.org/entity/Q1086549>	"Christopher Buckley"@ast
<http://www.wikidata.org/entity/Q10869229>	"Chiu Hungdah"@ast
<http://www.wikidata.org/entity/Q1086964>	"Chris Shays"@ast
<http://www.wikidata.org/entity/Q108757404>	"Beverly Gage"@af
<http://www.wikidata.org/entity/Q108793477>	"Frances Haugen"@af
<http://www.wikidata.org/entity/Q108818613>	"Shelli Avenevoli"@en
<http://www.wikidata.org/entity/Q108886>	"Harrison Hagan Schmitt"@de
<http://www.wikidata.org/entity/Q108897906>	"Charles Eisendrath"@en
<http://www.wikidata.org/entity/Q108907072>	"R. Scott Stephenson"@en
<http://www.wikidata.org/entity/Q1089112>	"Charles Douglas III"@bar
<http://www.wikidata.org/entity/Q1089199>	"Chuck Todd"@ast
<http://www.wikidata.org/entity/Q108935>	"Maria Steenburgen"@la
<http://www.wikidata.org/entity/Q108946248>	"Rebecca Frankel"@cs
<http://www.wikidata.org/entity/Q109136214>	"Ada Pecos Melton"@en
<http://www.wikidata.org/entity/Q109211689>	"Cat Zakrzewski"@de
<http://www.wikidata.org/entity/Q109236479>	"Steven Cliff"@en
<http://www.wikidata.org/entity/Q109302294>	"Dave Smith"@en
<http://www.wikidata.org/entity/Q109363072>	"John Vlach"@ast
<http://www.wikidata.org/entity/Q1094348>	"David G. Dalin"@ca
<http://www.wikidata.org/entity/Q1094716>	"Claiborne Pell"@ast
<http://www.wikidata.org/entity/Q109472121>	"Cmdr. David Fravor"@nl
<http://www.wikidata.org/entity/Q1094733>	"Clair Burgener"@ast
<http://www.wikidata.org/entity/Q10949678>	"Janice Rogers Brown"@ang
<http://www.wikidata.org/entity/Q109557910>	"Maurice Zeitlin"@ca
<http://www.wikidata.org/entity/Q109560948>	"Sheila Cherfilus-McCormick"@ast
<http://www.wikidata.org/entity/Q1095680>	"Clark Blaise"@ast
<http://www.wikidata.org/entity/Q109570>	"Peter A. Daimond"@sk
<http://www.wikidata.org/entity/Q109584620>	"Paul D. Goldenheim"@ca
<http://www.wikidata.org/entity/Q109606504>	"Joseph T. Rannazzisi"@ast
<http://www.wikidata.org/entity/Q109609798>	"Carol Brown"@en
<http://www.wikidata.org/entity/Q109635200>	"Joel M. Zinberg"@de
<http://www.wikidata.org/entity/Q109651279>	"Carole Hooven"@en
<http://www.wikidata.org/entity/Q109679824>	"Kristin Henning"@de
<http://www.wikidata.org/entity/Q1096809>	"Claude Harris"@yo
<http://www.wikidata.org/entity/Q109829413>	"Albert Foer"@ast
<http://www.wikidata.org/entity/Q10985702>	"Linda Dorcena Forry"@ast
<http://www.wikidata.org/entity/Q1100451>	"Cleo Fields"@ast
<http://www.wikidata.org/entity/Q1100609>	"Matt Lauer"@ast
<http://www.wikidata.org/entity/Q1100647>	"Clete Donald Johnson"@de
<http://www.wikidata.org/entity/Q1100710>	"Cey İnsli"@crh
<http://www.wikidata.org/entity/Q1100946>	"Ann Romney"@ast
<http://www.wikidata.org/entity/Q110124318>	"Stephen Sweeney"@en
<http://www.wikidata.org/entity/Q1101388>	"Clifton R. Wharton"@ca
<http://www.wikidata.org/entity/Q110146400>	"Emily Jashinsky"@de
<http://www.wikidata.org/entity/Q110146525>	"Veronique de Rugy"@de
<http://www.wikidata.org/entity/Q110154>	"Corc Takei"@az
<http://www.wikidata.org/entity/Q110226467>	"Michael Fanone"@en
<http://www.wikidata.org/entity/Q110249897>	"Nancy Abudu"@ast
<http://www.wikidata.org/entity/Q110281358>	"Aaron Klieman"@en
<http://www.wikidata.org/entity/Q1103701>	"Clyde Prestowitz"@de
<http://www.wikidata.org/entity/Q110434665>	"Wesley Hunt"@ast
<http://www.wikidata.org/entity/Q110436>	"Cory Doctorow"@ast
<http://www.wikidata.org/entity/Q110510347>	"Richard Bailey"@en
<http://www.wikidata.org/entity/Q110526331>	"Matt Sedillo"@ast
<http://www.wikidata.org/entity/Q110559480>	"Steve Owens"@en
<http://www.wikidata.org/entity/Q110569091>	"Renee Knake Jefferson"@de
<http://www.wikidata.org/entity/Q110607276>	"Rachelle Horowitz"@en
<http://www.wikidata.org/entity/Q110624752>	"Angela Sailor"@en
<http://www.wikidata.org/entity/Q110628905>	"Theodore Ruger"@dag
<http://www.wikidata.org/entity/Q110659991>	"Omar J. Marrero"@ast
<http://www.wikidata.org/entity/Q110702348>	"Danielle Holley-Walker"@de
<http://www.wikidata.org/entity/Q110815967>	"Harriet Hageman"@ast
<http://www.wikidata.org/entity/Q110876156>	"Mike Tidwell"@en
<http://www.wikidata.org/entity/Q1108983>	"Colleen Barrett"@ast
<http://www.wikidata.org/entity/Q110911567>	"Barbara Rosewicz"@de
<http://www.wikidata.org/entity/Q110929772>	"Jill Louise Busby"@ast
<http://www.wikidata.org/entity/Q110936736>	"Marilyn W. Thompson"@en
<http://www.wikidata.org/entity/Q110940327>	"James David Ford"@de
<http://www.wikidata.org/entity/Q110949448>	"Peter Schrag"@cs
<http://www.wikidata.org/entity/Q110964781>	"Karen Johnson-Weiner"@dag
<http://www.wikidata.org/entity/Q110984889>	"Dennis V. McGinn"@de
<http://www.wikidata.org/entity/Q110989675>	"Mekala Audain"@en
<http://www.wikidata.org/entity/Q110996829>	"Martin Kimani"@ast
<http://www.wikidata.org/entity/Q110998785>	"Elizabeth Taylor"@en
<http://www.wikidata.org/entity/Q11100>	"Deval Patrick"@af
<http://www.wikidata.org/entity/Q1110029>	"Louis Freeh"@ast
<http://www.wikidata.org/entity/Q111003451>	"Nancy H. Nielsen"@ast
<http://www.wikidata.org/entity/Q11101017>	"Lionel"@ast
<http://www.wikidata.org/entity/Q111032977>	"Warren F. Kimball"@en
<http://www.wikidata.org/entity/Q111038820>	"William D. Pederson"@en
<http://www.wikidata.org/entity/Q111049190>	"Brandice Canes-Wrone"@de
<http://www.wikidata.org/entity/Q11105>	"Elena Kagan"@an
<http://www.wikidata.org/entity/Q11107>	"Sonia Sotomayor"@an
<http://www.wikidata.org/entity/Q111076809>	"James H. Johnson"@cs
<http://www.wikidata.org/entity/Q11109>	"John Paul Stevens"@an
<http://www.wikidata.org/entity/Q11112119>	"Mia Love"@ast
<http://www.wikidata.org/entity/Q111145663>	"Paul Coates"@en
